Size Category,Est. Enrollment,University,# Contacts,Contact Names,Contact Emails
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Platteville,12,Accounting & Finance Club Faculty Advisor | School of Business Main Office | Dr Les Hollingsworth | Dr Caryn Stanley | Economics & Finance Dept Office (via Business Directory),nugentd@uwplatt.edu | schoolofbusiness@uwplatt.edu | hollingsworl@uwplatt.edu | stanleyca@uwplatt.edu | economics@uwplatt.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Stevens Point,10,School of Business & Economics Office | Economics Department Office | Finance Program Office | Student Involvement & Employment Office | UWSP Investment Club (official routing),sbe@uwsp.edu | economics@uwsp.edu | finance@uwsp.edu | sieo@uwsp.edu | sieo@uwsp.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Whitewater,10,College of Business and Economics Office | Economics Department Office | Finance Department Office | Real Estate & Finance Organization (REFO) | Center for Students with High Impact Practices,cbe@uww.edu | economics@uww.edu | finance@uww.edu | orgs@uww.edu | hip@uww.edu
"Large-Medium (20,000–29,999)",25000,Concordia University of Nebraska,9,College of Business & Technology Office | Department of Business Administration | Department of Economics | Career Development | Employer Relations,business@cune.edu | businessadmin@cune.edu | economics@cune.edu | careerdevelopment@cune.edu | employerrelations@cune.edu
"Large-Medium (20,000–29,999)",25000,Oklahoma State University – Online,6,OSU Online | Spears School of Business | Department of Finance | Career Services | Experiential Learning,online@okstate.edu | spears@okstate.edu | finance@okstate.edu | careers@okstate.edu | experientiallearning@okstate.edu
"Large-Medium (20,000–29,999)",25000,Oklahoma State University–Tulsa,6,Spears School of Business (Tulsa) | Department of Finance | OSU–Tulsa Administration | Career Services | Experiential Learning,spears@okstate.edu | finance@okstate.edu | tulsa@okstate.edu | careers@okstate.edu | experientiallearning@okstate.edu
"Large-Medium (20,000–29,999)",25000,University of Arkansas Hope-Texarkana,5,Business & Industry Division | Dr. Christine Holt | Career Pathways | Student Services | Admissions Office,business@uahtexas.edu | cholt@uahtexas.edu | careerpathways@uahtexas.edu | studentservices@uahtexas.edu | admissions@uahtexas.edu
"Large-Medium (20,000–29,999)",25000,"University of California College of the Law, San Francisco",5,Career Development Office | Office of Academic Affairs | Student Services | Admissions Office | Office of Advancement,careers@uclawsf.edu | academicaffairs@uclawsf.edu | studentservices@uclawsf.edu | admissions@uclawsf.edu | advancement@uclawsf.edu
"Large-Medium (20,000–29,999)",25000,"University of California, Irvine – Division of Continuing Education",5,Business & Leadership Programs | Corporate Training | Career Services | Student Services | Enrollment Services,dce-business@uci.edu | training@uci.edu | careers@ce.uci.edu | dce-services@uci.edu | dce-enrollment@uci.edu
"Large-Medium (20,000–29,999)",25000,University of Colorado Colorado Springs,5,College of Business | Dr. Thomas Aicher | Career Services | Student Life | Admissions Office,business@uccs.edu | taicher@uccs.edu | careers@uccs.edu | studentlife@uccs.edu | admissions@uccs.edu
"Large-Medium (20,000–29,999)",25000,University of Illinois – Online,5,Gies College of Business | Dr. Brooke Elliott | Illinois Online | Career Services | Graduate Admissions,info@business.illinois.edu | elliott@illinois.edu | online@illinois.edu | careers@illinois.edu | gradadmissions@illinois.edu
"Large-Medium (20,000–29,999)",25000,University of Maine at Augusta,5,College of Professional Studies | Dr. Michael Laliberte | Career Connections | Student Affairs | Admissions Office,uma.professionalstudies@maine.edu | michael.laliberte@maine.edu | uma.careerconnections@maine.edu | uma.studentaffairs@maine.edu | uma.admissions@maine.edu
"Large-Medium (20,000–29,999)",25000,University of Maine at Farmington,5,Department of Business & Economics | Dr. Edward Serna | Career Services | Student Affairs | Admissions Office,umf.business@maine.edu | edward.serna@maine.edu | umf.careers@maine.edu | umf.studentaffairs@maine.edu | umf.admissions@maine.edu
"Large-Medium (20,000–29,999)",25000,University of Maine at Fort Kent,5,Division of Business & Professional Studies | Dr. Deb Hedeen | Career Services | Student Affairs | Admissions Office,umfkbusiness@maine.edu | deb.hedeen@maine.edu | umfk.careers@maine.edu | umfk.studentaffairs@maine.edu | umfk.admissions@maine.edu
"Large-Medium (20,000–29,999)",25000,University of Maine at Machias,5,Business & Entrepreneurship Program | Dr. Joan Ferrini-Mundy | Career Services | Student Affairs | Admissions Office,umm.business@maine.edu | president@maine.edu | umm.careers@maine.edu | umm.studentaffairs@maine.edu | umm.admissions@maine.edu
"Large-Medium (20,000–29,999)",25000,University of Maine at Presque Isle,5,Department of Business Administration | Dr. Raymond Rice | Career Services | Student Affairs | Admissions Office,umpi.business@maine.edu | raymond.rice@maine.edu | umpi.careers@maine.edu | umpi.studentaffairs@maine.edu | umpi.admissions@maine.edu
"Large-Medium (20,000–29,999)",25000,University of Massachusetts Global at Irvine,5,School of Business & Professional Studies | Dr. Charles Bullock | Career Services | Student Services | Admissions Office,business@umassglobal.edu | cbullock@umassglobal.edu | careerservices@umassglobal.edu | studentservices@umassglobal.edu | admissions@umassglobal.edu
"Large-Medium (20,000–29,999)",25000,University of Michigan–Ann Arbor Extension,5,Michigan Online | Stephen M. Ross School of Business | University Career Center | Center for Campus Involvement | Office of Undergraduate Admissions,michiganonline@umich.edu | ross@umich.edu | careercenter@umich.edu | campusinvolvement@umich.edu | admissions@umich.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina – Online,5,UNC Online | UNC Kenan-Flagler Business School | Dr. Mary Margaret Frank | University Career Services | Office of Undergraduate Admissions,online@northcarolina.edu | info@kenan-flagler.unc.edu | mmfrank@unc.edu | careerservices@unc.edu | admissions@unc.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina Pembroke at Fayetteville,5,UNCP at Fayetteville | Dr. Barry O’Brien | Career Center | Student Affairs | Admissions Office,fayetteville@uncp.edu | barry.obrien@uncp.edu | career.center@uncp.edu | student.affairs@uncp.edu | admissions@uncp.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina School of Science and Mathematics,5,Office of the Chancellor | Academic Programs Office | Career & College Counseling | Student Services | Admissions Office,chancellor@ncssm.edu | academics@ncssm.edu | counseling@ncssm.edu | studentservices@ncssm.edu | admissions@ncssm.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina School of the Arts,10,Office of the Chancellor | School of Design & Production | Career Development | Student Affairs | Admissions Office,chancellor@uncsa.edu | designandproduction@uncsa.edu | careers@uncsa.edu | studentaffairs@uncsa.edu | admissions@uncsa.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina Wilmington at Onslow,5,UNCW Onslow Extension Site | Cameron School of Business | Career Center | Student Affairs | Admissions Office,onslow@uncw.edu | csb@uncw.edu | career@uncw.edu | studentaffairs@uncw.edu | admissions@uncw.edu
"Large-Medium (20,000–29,999)",25000,University of Texas – Arlington Online,3,Dr. Anup Agrawal | UTA Online | Admissions Office,anup.agrawal@uta.edu | utaonline@uta.edu | admissions@uta.edu
"Large-Medium (20,000–29,999)",25000,University of Texas – Online Consortium,5,"UT Online Consortium | College of Business, UT Austin | Dr. Lillian Mills | Career Services | Admissions Office",online@utsystem.edu | business@mccombs.utexas.edu | lillian.mills@mccombs.utexas.edu | careercenter@utexas.edu | admissions@utexas.edu
"Large-Medium (20,000–29,999)",25000,University of Texas at Tyler Health Science Center,9,Dr. Michael Williams | Student Affairs | Admissions Office | Office of Facilities Management | Office of the Provost,mwilliams@uttyler.edu | studentaffairs@uttyler.edu | admissions@uttyler.edu | facilities@uthct.edu | provost@uttyler.edu
"Large-Medium (20,000–29,999)",25000,University of Virginia – Northern Virginia Center,5,Northern Virginia Center Administration | Darden School of Business | Career Development Center | Student Affairs | Admissions Office,nvc@virginia.edu | darden@darden.virginia.edu | careers@virginia.edu | studentaffairs@virginia.edu | admissions@virginia.edu
"Large-Medium (20,000–29,999)",25000,University of Virginia – Darden DC Metro,5,Darden School of Business | Dr. Scott Beardsley | Career Development Center | Student Affairs | Admissions Office,darden@darden.virginia.edu | sbeardsley@darden.virginia.edu | careers@darden.virginia.edu | studentaffairs@virginia.edu | admissions@darden.virginia.edu
"Large-Medium (20,000–29,999)",25000,University of Virginia’s College at Wise,5,College of Business | Dr. Donna R. Henry | Career Services | Student Affairs | Admissions Office,business@uvawise.edu | drhenry@uvawise.edu | careers@uvawise.edu | studentaffairs@uvawise.edu | admissions@uvawise.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Milwaukee (Extended Campus),6,Dr. Kaushal Chari | Dr. Scott Beekman | lubaradvising@uwm.edu | careers@uwm.edu | employerrelations@uwm.edu,kchari@uwm.edu | beekmans@uwm.edu | lubaradvising@uwm.edu | careers@uwm.edu | employerrelations@uwm.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin – Online,5,uwexbusiness@uwex.wisconsin.edu | learn@uwex.wisconsin.edu | studentservices@uwex.wisconsin.edu | career@uwex.wisconsin.edu | outreach@uwex.wisconsin.edu,uwexbusiness@uwex.wisconsin.edu | learn@uwex.wisconsin.edu | studentservices@uwex.wisconsin.edu | career@uwex.wisconsin.edu | outreach@uwex.wisconsin.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Parkside,6,Dr. Asif Khan | Dr. Sandeep Makhija | cobadvising@uwp.edu | careers@uwp.edu | employerrelations@uwp.edu,khana@uwp.edu | makhija@uwp.edu | cobadvising@uwp.edu | careers@uwp.edu | employerrelations@uwp.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Stout,6,Dr. Abel Adekola | Dr. Scott Pierson | management@uwstout.edu | career.services@uwstout.edu | employerrelations@uwstout.edu,adekolaa@uwstout.edu | piersons@uwstout.edu | management@uwstout.edu | career.services@uwstout.edu | employerrelations@uwstout.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Superior (Ashland Center),6,Dr. Nicholas Olson | Dr. Michael H. Kusch | sbe@uwsuper.edu | careerservices@uwsuper.edu | studentinvolvement@uwsuper.edu,nolson@uwsuper.edu | mkusch@uwsuper.edu | sbe@uwsuper.edu | careerservices@uwsuper.edu | studentinvolvement@uwsuper.edu
"Large-Medium (20,000–29,999)",25000,"University of California, San Francisco (UCSF)",7,Real Estate Services | Facilities Services | Office of Career & Professional Development | Industry Relations | Student Involvement,realestate@ucsf.edu | facilities@ucsf.edu | career@ucsf.edu | industry@ucsf.edu | studentlife@ucsf.edu
"Large-Medium (20,000–29,999)",25000,University of Illinois Springfield,6,Department of Business Administration | Department of Economics | UIS Career Development Center | Employer Relations | Office of Student Life,business@uis.edu | economics@uis.edu | careerservices@uis.edu | employers@uis.edu | studentlife@uis.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Milwaukee,6,Lubar College of Business | Department of Finance | James A. Graaskamp Center for Real Estate | Career Planning & Resource Center | Employer Relations,lubar@uwm.edu | finance@uwm.edu | graaskamp@uwm.edu | careerplan@uwm.edu | employers@uwm.edu
"Large-Medium (20,000–29,999)",25000,"University of Virginia (Charlottesville, Virginia)",7,McIntire Real Estate Club (via McIntire Student Services) | Center for Real Estate | Nicole Burch | McIntire School of Commerce Dean’s Office | UVA Career Center,undergrad@mccintire.virginia.edu | realestate@virginia.edu | nburch@virginia.edu | commerce@virginia.edu | careercenter@virginia.edu
"Large-Medium (20,000–29,999)",25000,University of Wisconsin–Milwaukee at Washington County,18,Lubar College of Business Undergraduate Student Services | Department of Finance | Office of the Provost | Center for Student Experience & Talent | Student Involvement Office,busadv@uwm.edu | finance@uwm.edu | provost@uwm.edu | careerplan@uwm.edu | getinvolved@uwm.edu
"Large-Medium (20,000–29,999)",25000,University of Texas at Tyler – Longview University Center,4,Soules College of Business | Office of Academic Affairs | Office of Student Engagement | Office of University Advancement,business@uttyler.edu | provost@uttyler.edu | studentengagement@uttyler.edu | advancement@uttyler.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina at Asheville,6,Department of Management & Accountancy | Department of Economics | Office of the Provost | Career Center | Office of Student Engagement,dma@unca.edu | economics@unca.edu | provost@unca.edu | career@unca.edu | studentengagement@unca.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina at Pembroke,6,Thomas College of Business & Economics | Department of Economics & Finance | Office of the Provost | Career Center | Office of Student Engagement,tcbe@uncp.edu | econfin@uncp.edu | provost@uncp.edu | career@uncp.edu | studentengagement@uncp.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina at Greensboro,6,Bryan School of Business & Economics | Department of Economics | Office of the Provost | Career & Professional Development | Office of Student Leadership & Engagement,bryan@uncg.edu | economics@uncg.edu | provost@uncg.edu | careers@uncg.edu | studentleadership@uncg.edu
"Large-Medium (20,000–29,999)",25000,University of North Carolina at Wilmington,6,Cameron School of Business | Department of Economics & Finance | Office of the Provost | Career Center | Campus Life,csb@uncw.edu | econfin@uncw.edu | provost@uncw.edu | careercenter@uncw.edu | campuslife@uncw.edu
"Large-Medium (20,000–29,999)",24000,"California State University, Fresno",23,"Andres Jauregui, PhD | Jennifer Miele, PhD | Vinh Huy Nguyen, PhD | Rassoul Yazdipour, PhD | Harry Xia, PhD",andresjauregui@mail.fresnostate.edu | jmiele@csufresno.edu | vinhn@csufresno.edu | rassouly@csufresno.edu | hxia@csufresno.edu
"Large-Medium (20,000–29,999)",24000,Missouri State University,9,Real Estate Club (official student organization) | Department of Finance & General Business | College of Business | Department of Economics | Career Center,studentengagement@missouristate.edu | finance@missouristate.edu | cob@missouristate.edu | economics@missouristate.edu | careercenter@missouristate.edu
"Large-Medium (20,000–29,999)",24000,Portland State University,13,"Barry Menashe Family | Meagan An, MEd | Dr. Julia Freybote, PhD | Dr. Riëtte Carstens, PhD | Michael Havlik, MBA, CPM",pyszka@pdx.edu | ameagan@pdx.edu | freybote@pdx.edu | riettec@pdx.edu | mhavlik@pdx.edu
"Large-Medium (20,000–29,999)",24000,"University of California, Riverside",9,A. Gary Anderson Graduate School of Management – Dean’s Office | Center for Sustainable Suburban Development (CSSD) | Department of Economics | Finance & Accounting Area (AGSM) | AGSM Career Development Center,anderson@ucr.edu | cssd@ucr.edu | economics@ucr.edu | anderson@ucr.edu | agsmcareers@ucr.edu
"Large-Medium (20,000–29,999)",24000,University of New Mexico,10,"UNM Real Estate Club (Anderson) | Center for Real Estate | Department of Finance, International, Technology & Entrepreneurship (FITE) | Anderson School of Management – Dean’s Office | Anderson Career Services",studentactivities@unm.edu | realestate@unm.edu | fite@unm.edu | anderson@unm.edu | andersoncareers@unm.edu
"Large-Medium (20,000–29,999)",24000,Wayne State University,3,Employer Engagement (Career Services) | Experiential Learning | Student Engagement & Leadership,hirewarriors@wayne.edu | experientiallearning@wayne.edu | studentengagement@wayne.edu
"Large-Medium (20,000–29,999)",24000,Johns Hopkins University,10,Carey Business School | Finance & Economics Department | Carey Business School – Graduate Programs | Graduate Admissions | Life Design Lab,carey@jhu.edu | finance@jhu.edu | careygrad@jhu.edu | gradadmissions@jhu.edu | lifedesign@jhu.edu
"Large-Medium (20,000–29,999)",24000,Missouri State University – West Plains,8,Dustin Garrison | Business & Applied Technology Department | Business Program Office | Career Services | Employer Relations,dustingarrison@wp.missouristate.edu | bat@wp.missouristate.edu | business@wp.missouristate.edu | careers@wp.missouristate.edu | employerrelations@missouristate.edu
"Large-Medium (20,000–29,999)",24000,Portland State University – Online,7,PSU Online | School of Business (SB) Dean’s Office | Department of Finance & Real Estate | College of Urban & Public Affairs | Career Services,online@pdx.edu | sbinfo@pdx.edu | finance@pdx.edu | cupa@pdx.edu | career@pdx.edu
"Large-Medium (20,000–29,999)",24000,University of Colorado Denver,5,Business School | Dr. Scott Dawson | Career Center | Experiential Learning Center | Admissions Office,business@ucdenver.edu | scott.dawson@ucdenver.edu | careercenter@ucdenver.edu | experiential.learning@ucdenver.edu | admissions@ucdenver.edu
"Large-Medium (20,000–29,999)",24000,Missouri State University–West Plains,7,Business & Technology Department | Academic Affairs | Career Services | Student Services | Institutional Advancement,business@wp.missouristate.edu | provost@wp.missouristate.edu | careers@wp.missouristate.edu | studentservices@wp.missouristate.edu | advancement@wp.missouristate.edu
"Large-Medium (20,000–29,999)",23000,DePaul University,10,"DePaul Real Estate Club | Real Estate Center (Driehaus College of Business) | Reagan Pratt | Mark May | Sanjay Deshmukh, Ph.D.",involvement@depaul.edu | financeandrealestate@depaul.edu | rpratt1@depaul.edu | MMAY11@depaul.edu | sanjay.deshmukh@depaul.edu
"Large-Medium (20,000–29,999)",23000,Grand Valley State University,10,Real Estate Society (via Student Organizations) | Seidman College of Business Office | Dr. Daniel Giedeman | Department of Finance & Accounting | Department of Economics,studentorg@gvsu.edu | seidman@gvsu.edu | giedemad@gvsu.edu | finance@gvsu.edu | economics@gvsu.edu
"Large-Medium (20,000–29,999)",23000,Miami University (Ohio),7,Center for Real Estate Finance & Investment | Farmer School of Business | Ian Mercer | Valarie Jacobsen | Kristyn Gates,wiggerst@MiamiOH.edu | deanofbusiness@MiamiOH.edu | mercerit@MiamiOH.edu | valarie.jacobsen@MiamiOH.edu | gateska@MiamiOH.edu
"Large-Medium (20,000–29,999)",23000,Nova Southeastern University,8,"Thomas Wuerzer | Rebecca Abraham, D.B.A. | Andrew Rosman, Ph.D. | Najeeb Ahmed | Center for Academic & Professional Success",realestate@nova.edu | abraham@nova.edu | arosman1@nova.edu | najeeb@nova.edu | caps@nova.edu
"Large-Medium (20,000–29,999)",23000,University of Oregon,10,"Center for Real Estate (CREO) | Lundquist College of Business – Main Office | Department of Finance, Operations & Business Analytics (FOBA) | Real Estate Club (UO) | Lundquist Career Services",creo@uoregon.edu | lcb@uoregon.edu | foba@uoregon.edu | involvement@uoregon.edu | lcbcareers@uoregon.edu
"Large-Medium (20,000–29,999)",23000,Nova Southeastern University – Online,7,H. Wayne Huizenga College of Business & Entrepreneurship | Department of Finance & Real Estate | Office of Online Education | Career & Professional Development | Experiential Learning,huizenga@nova.edu | finance@nova.edu | online@nova.edu | career@nova.edu | experientiallearning@nova.edu
"Large-Medium (20,000–29,999)",22000,Ball State University,11,Real Estate & Property Management Club | Center for Business and Economic Research (as club anchor) | Dr. David Gwynn | Dr. Jeff Miller | Dr. Ken Yates,studentactivities@bsu.edu | cber@bsu.edu | dwgwynn@bsu.edu | jemiller@bsu.edu | kjyates@bsu.edu
"Large-Medium (20,000–29,999)",22000,"California Polytechnic State University, Pomona",12,"Real Estate Society | College of Business Administration – Student Orgs | Dr. Sandeep Krishnamurthy | Department of Finance, Real Estate & Law | Dr. Fredrick Moore",osi@cpp.edu | cba@cpp.edu | skmurthy@cpp.edu | finance@cpp.edu | fcmoore@cpp.edu
"Large-Medium (20,000–29,999)",22000,Kansas State University,10,Department of Real Estate & Community Development | College of Business Administration Office | Department of Finance | Department of Economics | Student Organizations (Real Estate Club routing),recd@ksu.edu | business@k-state.edu | finance@k-state.edu | econ@k-state.edu | getinvolved@k-state.edu
"Large-Medium (20,000–29,999)",22000,Middle Tennessee State University,15,Student Organizations & Service | Career Development Center | Career Development Center | Career Development Center | Career Development Center,studentorgs@mtsu.edu | Beka.Moore@mtsu.edu | Jennie.Bryan@mtsu.edu | Holly.Allen@mtsu.edu | pca@mtsu.edu
"Large-Medium (20,000–29,999)",22000,Mississippi State University,12,"Blake Estes | Department of Finance & Economics – Dept Office | Brandon Cline, Ph.D. | Brian Blank, Ph.D. | Eunsik Chang, Ph.D.",Blakeestes097@gmail.com | finance-economics@business.msstate.edu | brandon.cline@msstate.edu | dblank@business.msstate.edu | ec91@msstate.edu
"Large-Medium (20,000–29,999)",22000,Montclair State University,15,Department of Accounting & Finance – Office | Deniz Appelbaum | Gary Kleinman | Richard Lord | Department of Economics – Office,acctfinc@montclair.edu | appelbaumd@montclair.edu | kleinmang@montclair.edu | lordr@montclair.edu | economics@montclair.edu
"Large-Medium (20,000–29,999)",22000,Rowan University,10,Rowan Real Estate Club | Rohrer College of Business | Donald Bagranoff | Department of Accounting & Finance | Center for Professional Development,realestateclub@rowan.edu | business@rowan.edu | bagranoff@rowan.edu | acctfinance@rowan.edu | cpd@rowan.edu
"Large-Medium (20,000–29,999)",22000,Syracuse University,10,Syracuse University Real Estate Club | Whitman School of Management | Alex McKelvie | Department of Finance | Department of Economics,studentengagement@syr.edu | whitman@syr.edu | ajmckelv@syr.edu | finance@syr.edu | economics@syr.edu
"Large-Medium (20,000–29,999)",22000,Towson University,24,"Susan M.V. Flaherty, Ph.D. | cbefinance@towson.edu | Vera Case, Teaching Professor | Mark Donnelly, Professor of Practice | Rachel Gordon, Associate Professor",sflaherty@towson.edu | cbefinance@towson.edu | vcase@towson.edu | amdonnelly@towson.edu | rgordon@towson.edu
"Large-Medium (20,000–29,999)",22000,University of Alabama at Birmingham,7,Collat School of Business – Dean’s Office | Department of Finance | Department of Accounting & Economics | Collat School of Business Career Services | UAB Career Center,collat@uab.edu | finance@uab.edu | ae@uab.edu | collatcareers@uab.edu | careercenter@uab.edu
"Large-Medium (20,000–29,999)",22000,University of Memphis,10,"Center for Real Estate (CRE) | Fogelman College of Business – Dean’s Office | Department of Finance, Insurance & Real Estate – Main Office | Real Estate Club (via Student Org routing) | Fogelman Career Management Center",cre@memphis.edu | business@memphis.edu | fire@memphis.edu | orgs@memphis.edu | fogelmancmc@memphis.edu
"Large-Medium (20,000–29,999)",22000,University of Mississippi,11,Student Real Estate Society | School of Business Administration – Main Office | Department of Finance – Administrative Office | Ole Miss Real Estate Initiative | Undergraduate Admissions,office@career.olemiss.edu | business@olemiss.edu | business@olemiss.edu | business@olemiss.edu | admissions@olemiss.edu
"Large-Medium (20,000–29,999)",22000,"University of Nevada, Reno",10,Lied Institute for Real Estate | Nicholas Irwin | College of Business Dean’s Office | Department of Economics Office | Finance Department Office,liedinstitute@unr.edu | nirwin@unr.edu | business@unr.edu | economics@unr.edu | finance@unr.edu
"Large-Medium (20,000–29,999)",22000,Arkansas State University–Mid-South,9,Letory Collins | Career Services Office | Student Clubs & Organizations (via Student Life) | Admissions Office | Financial Aid Office,llcollins@asumidsouth.edu | greyhoundsupport@asumidsouth.edu | greyhoundsupport@asumidsouth.edu | admissions@asumidsouth.edu | finaid@asumidsouth.edu
"Large-Medium (20,000–29,999)",22000,Arkansas State University–Newport,9,Business & Computer Technology Department | Workforce & Career Pathways | Career Services | Student Services Office | Office of Student Life,business@asun.edu | workforce@asun.edu | careerservices@asun.edu | studentservices@asun.edu | studentlife@asun.edu
"Large-Medium (20,000–29,999)",22000,Columbia Southern University,8,College of Business Office | Business Administration Programs | Career Services | Employer Partnerships | Student Services Office,business@columbiasouthern.edu | businessadmin@columbiasouthern.edu | careerservices@columbiasouthern.edu | employerrelations@columbiasouthern.edu | studentservices@columbiasouthern.edu
"Large-Medium (20,000–29,999)",22000,Mississippi State University – Meridian,8,"David Buys, PhD | Division of Business Office | Department of Management & Information Systems | Career Services | Employer Relations Team",dbuys@meridian.msstate.edu | business@meridian.msstate.edu | mis@business.msstate.edu | careers@msstate.edu | employerrelations@msstate.edu
"Large-Medium (20,000–29,999)",22000,Syracuse University – Online,5,Whitman School of Management | Career Services | Corporate Partnerships | Student Engagement | Graduate Admissions,whitman@syr.edu | careers@syr.edu | corporate@syr.edu | seoffice@syr.edu | grad@syr.edu
"Large-Medium (20,000–29,999)",21000,Bloomsburg University of Pennsylvania,19,Real Estate & Finance Club | Zehnder School of Business Student Organizations | Dr. Robert F. Marra | Dr. Patrick McGuigan | Dr. Robert W. Blanchard,studentengagement@bloomu.edu | business@bloomu.edu | rmarra@bloomu.edu | pmcguiga@bloomu.edu | rblanch@bloomu.edu
"Large-Medium (20,000–29,999)",21000,Illinois State University,11,"Department of Finance, Insurance & Law Office | College of Business – Dean’s Office | Real Estate Program (Finance, Insurance & Law) | Real Estate Club (ISU) | Business Academic Advising",fil@illinoisstate.edu | cob@ilstu.edu | fil@illinoisstate.edu | studentinvolvement@ilstu.edu | businessadvising@ilstu.edu
"Large-Medium (20,000–29,999)",21000,James Madison University,11,College of Business – Dean’s Office | Department of Finance & Business Law | Real Estate Society (JMU) | Business Academic Advising | Center for Professional Sales / Applied Business Centers,cob@jmu.edu | finance@jmu.edu | orgs@jmu.edu | cobadvising@jmu.edu | cob@jmu.edu
"Large-Medium (20,000–29,999)",21000,Kutztown University of Pennsylvania,10,Office of Student Involvement | College of Business Office | Department of Finance | Department of Economics | Department of Management,studentinvolvement@kutztown.edu | business@kutztown.edu | finance@kutztown.edu | economics@kutztown.edu | management@kutztown.edu
"Large-Medium (20,000–29,999)",21000,Metropolitan State University of Denver,10,Real Estate Club (via Student Organizations) | College of Business Office | Department of Finance | Real Estate Program Office | Department of Economics,studentengagement@msudenver.edu | cob@msudenver.edu | finance@msudenver.edu | realestate@msudenver.edu | economics@msudenver.edu
"Large-Medium (20,000–29,999)",21000,Northwestern University,11,"Northwestern Undergraduate Real Estate Club (UREC) | Efraim Benmelech | Real Estate Research, Guthrie Center for | Real Estate Research, Guthrie Center for | Real Estate, Facilities",urec@u.northwestern.edu | e-benmelech@kellogg.northwestern.edu | bradford.lund@kellogg.northwestern.edu | tamar.selch@kellogg.northwestern.edu | paula.neale@northwestern.edu
"Large-Medium (20,000–29,999)",21000,Sam Houston State University,10,SHSU Real Estate Club | College of Business Administration | Mitchell Muehsam | Department of Economics & International Business | Department of Finance & Banking,realestateclub@shsu.edu | coba@shsu.edu | muehsam@shsu.edu | econ@shsu.edu | finance@shsu.edu
"Large-Medium (20,000–29,999)",21000,University of Pennsylvania,10,Wharton Real Estate Department | Wharton Undergraduate Real Estate Club | Peter Linneman | Wharton Undergraduate Division | Wharton Dean’s Office,realestate@wharton.upenn.edu | realestate@wharton.upenn.edu | linneman@wharton.upenn.edu | undergrad@wharton.upenn.edu | wharton@wharton.upenn.edu
"Large-Medium (20,000–29,999)",21000,Western Michigan University,17,"Tim Scheu, Ph.D. | Satish Deshpande | Department of Finance & Commercial Law Office | Haworth College of Business Office | Zhang Career Center",tim.scheu@wmich.edu | business@wmich.edu | finance@wmich.edu | business@wmich.edu | zhccareercenter@wmich.edu
"Large-Medium (20,000–29,999)",21000,Cheyney University of Pennsylvania,9,School of Business Office | Dr. Aaron Walton | Economics Program Office | Career Development Center | Employer Relations,business@cheyney.edu | awalton@cheyney.edu | economics@cheyney.edu | careerdevelopment@cheyney.edu | employerrelations@cheyney.edu
"Large-Medium (20,000–29,999)",21000,Sam Houston State University – Online,7,College of Business Administration – Dean’s Office | Department of Finance & Banking | Office of Student Engagement (routing) | Career Success Center | Employer Relations,cob@shsu.edu | finance@shsu.edu | studentengagement@shsu.edu | careersuccess@shsu.edu | employerrelations@shsu.edu
"Large-Medium (20,000–29,999)",21000,Lock Haven University of Pennsylvania,8,"College of Business | Department of Accounting, Finance & Economics | Academic Affairs | Career Services | Student Life",business@lockhaven.edu | afe@lockhaven.edu | provost@lockhaven.edu | careers@lockhaven.edu | studentlife@lockhaven.edu
"Large-Medium (20,000–29,999)",21000,Mansfield University of Pennsylvania,8,"College of Business, Arts & Sciences | Department of Accounting, Economics & Finance | Academic Affairs | Career Services | Student Life",business@mansfield.edu | aef@mansfield.edu | provost@mansfield.edu | careers@mansfield.edu | studentlife@mansfield.edu
"Large-Medium (20,000–29,999)",21000,Harvard University,10,Harvard Business School Real Estate Club | Harvard Real Estate Club (GSD) | Joint Center for Housing Studies | HBS Career & Professional Development | Frank Apeseche,rest@studentclubs.hbs.edu | hrecgsd@gmail.com | jchs@harvard.edu | recruiting@hbs.edu | frank_apeseche@gsd.harvard.edu
"Large-Medium (20,000–29,999)",20000,"California State University, San Bernardino",10,"Thomas A. Case, PhD | Warren H. Kruse, PhD | W. Dale Jorgenson, PhD | Hui Guo, PhD | Sung Won Kang, PhD",tcase@csusb.edu | wkruse@csusb.edu | djorgenson@csusb.edu | hguo@csusb.edu | skang@csusb.edu
